,name,latitude,longitude,price,hostStart,propType
99,Tropical Garden Retreat on an Organic Mango Farm,19.46793,-155.90776,89.00,2010-11-22,Guest suite
100,Lizards Retreat,19.57222,-154.94484,67.00,2011-05-19,Bungalow
101,Brazilian Pepper Suite Quiet and Charming,20.02563,-155.67963999999998,118.00,2009-02-09,Apartment
102,Your Kona Stay,19.64067,-155.97715,350.00,2011-06-02,House
103,Luxury Resort Condo on Sandy Lagoon,21.33579,-158.12098,550.00,2011-06-02,Aparthotel
104,"1BR CONDO SUITE IN CHARMING ""HAWAII 5.0"" RESORT",21.279320000000002,-157.82631999999998,120.00,2011-06-07,Apartment
105,19C | Ashanti Themed bedroom for 1-2,21.301560000000002,-157.84311,55.00,2011-06-08,Apartment
106,Large Studio with Ocean View- Permitted by County,22.08681,-159.31712,130.00,2011-06-08,Guest suite
107,Rose's Cottage with VIEWS,20.02514,-155.68078,275.00,2009-02-09,House
108,Spacious-Quiet 3bdrm 2ba Townhouse,22.222379999999998,-159.47079,180.00,2011-06-16,Condominium
109,Kamaole Sands condo near beach,20.71238,-156.44288999999998,206.00,2011-06-20,Condominium
110,THE HAPPIEST SPACE - WAIKIKI SMILES,21.27293,-157.82121999999998,99.00,2010-02-25,Apartment
111,P'ville Studio-NOT a shared space,22.222739999999998,-159.47746,88.00,2011-06-16,Condominium
112,2Bd 2Ba Spacious Princeville Condo,22.22233,-159.47659,155.00,2011-06-16,Condominium
113,3bd 3ba Princeville Resort Condo,22.22276,-159.47616000000002,200.00,2011-06-16,Condominium
114,5 bed 3 bath house @ Mangolani Inn,20.90757,-156.37537,"1,191.00",2011-06-25,House
115,Paia Town Plantation Home,20.91703,-156.37933999999998,400.00,2011-06-26,House
116,Sealodge Ocean Front 2 Bdroom Condo,22.227710000000002,-159.47371,183.00,2011-06-28,Condominium
117,Hawaii Condo ON THE BEACH! Sleeps 4,21.59123,-157.89155,130.00,2011-06-28,Apartment
118,Kuulei Hale Private Cottage,19.578329999999998,-155.04581000000002,84.00,2011-07-01,Cottage
119,A402 WAIPOULI BEACH PRIME OCEAN FRONT 2 BED SUITE,22.0604,-159.32064,507.00,2011-06-28,Condominium
120,Hale O'Kakuis,19.57528,-155.04754,59.00,2011-07-01,Farm stay
121,Ko Olina Largest 3br Family Villa w2 Masters,21.33419,-158.12098,563.00,2011-07-06,Condominium
122,PIPELINE solar home  MONTHLY bookings only,21.66239,-158.05208000000002,400.00,2011-07-02,Bungalow
