"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-10-31,40387,"Poinciana","FL","Lakeland-Winter Haven","Polk County",1689,187000,0.00214362272240086,0.00645855758880517,0.0529279279279279,0.103466302378981,0.102936348049626,"2006-08","2006-Q3",222100,-0.158036920306168,"2005-10"
2019-10-31,396536,"Security-Widefield","CO","Colorado Springs","El Paso County",1690,259200,0.00738437621453556,0.0224852071005917,0.0679851668726823,0.0924259298764472,0.051145963508167,"2019-10","2019-Q4",259200,0,"2019-10"
2019-10-31,12909,"Natchez","MS","Natchez","Adams County",1691,99200,-0.0197628458498024,-0.0284035259549461,-0.0274509803921569,0.0221672972807312,0.0153299748606073,"2017-02","2017-Q1",117600,-0.156462585034014,"2016-07"
2019-10-31,21536,"Channelview","TX","Houston-The Woodlands-Sugar Land","Harris County",1692,157500,-0.00126823081800888,0.0128617363344051,0.0817307692307692,0.106398021719422,0.0558104262781833,"2019-09","2019-Q3",157700,-0.00126823081800888,"2019-09"
2019-10-31,32727,"Martinsville","VA","Martinsville","Henry County",1693,79600,0.0101522842639594,0.0337662337662338,0.050131926121372,0.0307928399316886,-0.00308761584044148,"2006-07","2006-Q3",106000,-0.249056603773585,"2004-01"
2019-10-31,43775,"Willingboro Township","NJ","Philadelphia-Camden-Wilmington","Burlington County",1694,163100,0.00865800865800866,0.014934660858743,0.0290220820189274,0.0585756007582787,0.00601921198052202,"2006-12","2006-Q4",205200,-0.205165692007797,"2005-01"
2019-10-31,46405,"Maple Valley","WA","Seattle-Tacoma-Bellevue","King County",1695,477500,0.00505156809092823,0.0159574468085106,0.0235798499464094,0.073011575091134,0.0458450703072248,"2019-10","2019-Q4",477500,0,"2019-10"
2019-10-31,24877,"Glendale Heights","IL","Chicago-Naperville-Elgin","DuPage County",1696,199800,0.00654911838790932,0.00200601805416249,0.022517911975435,0.0428361890406388,0.0175470013218875,"2007-01","2007-Q1",234900,-0.149425287356322,"2004-07"
2019-10-31,29105,"Mebane","NC","Burlington","Alamance County",1697,194100,0.00310077519379845,0,0.0231945176594623,0.0486005204685134,0.0262457514617507,"2019-10","2019-Q4",194100,0,"2019-10"
2019-10-31,32588,"Lower Makefield Township","PA","Philadelphia-Camden-Wilmington","Bucks County",1698,446400,-0.000447828034034931,-0.00312639571237159,0.0147760854739714,0.0235269082410388,0.0138848281282555,"2006-07","2006-Q3",451400,-0.0110766504209127,"2006-02"
